Song Year,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,energy_level,positivity_level,Ratings
2016,1950,King Princess,Pop,1950,0.648,0.6,225133,0.535,4.70E-06,C#,0.162,-7.043,1,0.107,71.912,4,0.269,Empowering,0,1,Poor
2016,Eyes Open,Snow Patrol,Pop,Chasing Cars,0.193,0.557,267933,0.609,7.69E-05,F#,0.135,-4.463,1,0.0259,104.01,4,0.172,Empowering,0,1,Poor
2016,In The Lonely Hour,Sam Smith,Pop,I'm Not The Only One,0.554,0.453,239317,0.496,2.65E-05,D,0.0772,-5.785,1,0.0453,80.994,4,0.501,Empowering,0,1,Poor
2016,Please Don't Go,Joel Adams,Pop,Please Don't Go,0.0118,0.513,210580,0.768,1.94E-05,C#,0.294,-4.868,0,0.0587,84.264,4,0.235,Cool,-1,-1,Poor
2016,Midnight Memories (Deluxe),One Direction,Pop,Story of My Life,0.225,0.6,245493,0.663,0,C,0.119,-5.802,1,0.0477,121.07,4,0.286,Empowering,0,1,Poor
2016,We Sing. We Dance. We Steal Things.,Jason Mraz,Pop,I'm Yours,0.595,0.686,242187,0.457,0,G#,0.105,-8.322,1,0.0468,150.953,4,0.718,Cool,-1,-1,Poor
2016,Back To Bedlam (U.S. Amended),James Blunt,Pop,You're Beautiful,0.603,0.679,213053,0.54,1.70E-05,A,0.0905,-7.457,0,0.026,81.971,4,0.449,Empowering,0,1,Poor
2016,Love Yourself,Justin Bieber,Pop,Love Yourself,0.859,0.795,233747,0.378,0,C#,0.204,-9.979,1,0.316,100.227,4,0.576,Energizing,2,0,Poor
2016,Just The Way You Are,Bruno Mars,Pop,Just The Way You Are,0.0151,0.637,220733,0.843,0,D,0.0876,-5.413,1,0.0432,109.012,4,0.434,Cool,-1,-1,Poor
2016,Naked,James Arthur,Pop,Naked,0.104,0.529,234107,0.607,0,D#,0.0631,-6.781,1,0.0574,101.966,4,0.238,Melancholy,-2,-1,Poor
2016,A Rush Of Blood To The Head,Coldplay,Pop,The Scientist,0.727,0.56,309600,0.442,1.71E-05,D,0.11,-7.224,1,0.0243,146.448,4,0.212,Romantic,-1,1,Poor
2016,Is There Anybody Out There?,A Great Big World,Pop,Say Something,0.857,0.407,229400,0.147,2.89E-06,B,0.0913,-8.822,1,0.0355,141.284,3,0.0765,Melancholy,-2,-1,Poor
2016,Bundle of Tantrums,Jasmine Thompson,Pop,Let Her Go,0.95,0.445,172149,0.407,0,C,0.227,-6.883,1,0.0349,131.479,3,0.231,Empowering,0,1,Poor
2016,Golden Slumbers,Elbow,Pop,Golden Slumbers,0.886,0.494,144387,0.119,0,A,0.106,-11.831,1,0.0271,81.805,4,0.264,Sentimental,-2,0,Poor
2016,Beautiful Trauma,P!nk,Pop,Beautiful Trauma,0.0868,0.412,250053,0.619,2.55E-06,E,0.4,-6.39,1,0.0725,95.977,4,0.234,Romantic,-1,1,Poor
2016,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack [Deluxe Spotify Exclusive]),Christina Perri,Pop,A Thousand Years,0.309,0.421,285120,0.407,0.000961,G,0.11,-7.445,1,0.0267,139.028,3,0.161,Empowering,0,1,Poor
2016,I Won't Give Up,Jason Mraz,Pop,I Won't Give Up,0.694,0.585,240166,0.303,0,C#,0.115,-10.058,1,0.0398,136.703,3,0.142,Empowering,0,1,Poor
2016,Slow Hands,Niall Horan,Pop,Slow Hands,0.0133,0.726,188174,0.429,0,A,0.0574,-6.623,1,0.0519,85.899,4,0.871,Cool,-1,-1,Poor
2016,When We Were Young,Adele,Pop,When We Were Young,0.348,0.381,290907,0.594,0,C,0.0925,-5.97,1,0.0486,143.86,4,0.273,Empowering,0,1,Poor
2016,19,Adele,Pop,Make You Feel My Love,0.91,0.325,212040,0.18,0.000633,G,0.113,-10.647,1,0.0311,72.416,1,0.0997,Sentimental,-2,0,Poor
2016,Malibu,Miley Cyrus,Pop,Malibu,0.0577,0.565,231906,0.782,4.16E-05,F,0.0757,-6.413,1,0.0506,140.004,4,0.4,Empowering,0,1,Poor
2016,+,Ed Sheeran,Pop,Lego House,0.562,0.592,185093,0.637,0,G#,0.13,-8.48,1,0.0992,159.701,4,0.565,Empowering,0,1,Poor
2016,13 Reasons Why (A Netflix Original Series Soundtrack),Lord Huron,Pop,The Night We Met,0.97,0.549,206933,0.371,0.132,B,0.639,-9.56,1,0.0378,87.024,3,0.13,Sentimental,-2,0,Poor
2016,Cheers To The Fall,Andra Day,Pop,Rise Up,0.805,0.398,253342,0.316,0,A#,0.295,-7.031,1,0.0368,118.582,4,0.174,Empowering,0,1,Poor
2016,Nine Track Mind,Charlie Puth,Pop,One Call Away,0.403,0.667,194453,0.613,0,A#,0.115,-5.353,1,0.0344,91.024,4,0.47,Empowering,0,1,Poor
2016,Camino Palmero,The Calling,Pop,Wherever You Will Go,0.0367,0.558,208600,0.719,0,B,0.115,-5.113,1,0.0267,112.027,4,0.371,Empowering,0,1,Poor
2016,Home To Mama,Justin Bieber,Pop,Home To Mama,0.95,0.688,203267,0.296,0.000166,B,0.115,-11.064,1,0.0872,89.091,4,0.478,Sentimental,-2,0,Poor
2016,÷ (Deluxe),Ed Sheeran,Pop,Shape of You,0.581,0.825,233713,0.652,0,A#,0.0931,-3.183,0,0.0802,95.977,4,0.931,Energizing,2,0,Poor
2016,The Reason,Hoobastank,Pop,The Reason,0.0129,0.472,232800,0.671,0,C#,0.159,-4.649,1,0.029,82.952,4,0.0681,Empowering,0,1,Poor
2016,Greatest Hits Volume One - The Singles,The Goo Goo Dolls,Pop,Iris,0.00133,0.291,289907,0.79,5.61E-06,G#,0.0811,-5.683,0,0.0363,155.667,3,0.513,Empowering,0,1,Poor
2016,This Town,Niall Horan,Pop,This Town,0.711,0.69,232600,0.407,0,F#,0.126,-7.739,1,0.0297,111.916,4,0.181,Melancholy,-2,-1,Poor
2016,X & Y,Coldplay,Pop,Fix You,0.163,0.209,295533,0.418,0.00195,C,0.113,-8.74,1,0.0338,138.265,4,0.123,Empowering,0,1,Poor
2016,Lost Without You,Freya Ridings,Pop,Lost Without You,0.928,0.409,225076,0.137,0,D#,0.0706,-9.169,1,0.0446,162.08,1,0.106,Empowering,0,1,Poor
2016,Rude,MAGIC!,Pop,Rude,0.0435,0.743,224773,0.807,0,A#,0.309,-3.78,1,0.0364,144.062,4,0.899,Energizing,2,0,Poor
2016,Stargazing - EP,Kygo,Pop,Stargazing,0.152,0.677,236853,0.497,0,D,0.0911,-5.763,1,0.0809,99.137,4,0.419,Romantic,-1,1,Poor
2016,Over And Over Again,Nathan Sykes,Pop,Over And Over Again,0.962,0.47,246896,0.271,0,F,0.106,-8.335,1,0.0392,129.623,4,0.388,Empowering,0,1,Poor
2016,Drops Of Jupiter,Train,Pop,Drops of Jupiter,0.154,0.468,259933,0.64,0,A,0.154,-5.862,1,0.0275,79.297,4,0.499,Empowering,0,1,Poor
2016,Dream Your Life Away,Vance Joy,Pop,Mess Is Mine,0.047,0.595,223640,0.723,0.0286,E,0.0995,-8.256,1,0.0349,108.043,1,0.272,Empowering,0,1,Poor
2016,Parachutes,Coldplay,Pop,Yellow,0.00239,0.429,266773,0.661,0.00013,G#,0.234,-7.227,1,0.0281,173.365,4,0.285,Empowering,0,1,Poor
2016,Little Voice,Sara Bareilles,Pop,Love Song,0.0208,0.583,258827,0.786,0,B,0.188,-3.142,0,0.0301,123.052,4,0.573,Empowering,0,1,Poor
2016,lovestrong.,Christina Perri,Pop,Jar of Hearts,0.726,0.349,246587,0.348,0,C,0.12,-6.142,1,0.0316,74.541,4,0.0886,Empowering,0,1,Poor
2016,Sheezus,Lily Allen,Pop,Somewhere Only We Know,0.935,0.314,208154,0.286,0.0258,G,0.0999,-10.191,1,0.035,172.021,4,0.278,Empowering,0,1,Poor
2016,Wrecking Ball,Miley Cyrus,Pop,Wrecking Ball,0.395,0.466,223240,0.403,0,D,0.111,-6.142,1,0.0337,119.81,4,0.337,Empowering,0,1,Poor
2016,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,Pop,Thrift Shop (feat. Wanz),0.0619,0.781,235613,0.526,0,D#,0.0457,-6.985,0,0.293,94.992,4,0.662,Cool,-1,-1,Poor
2016,Animal + Cannibal (Deluxe Edition),Kesha,Pop,TiK ToK,0.0746,0.755,199693,0.832,1.27E-06,B,0.291,-2.741,0,0.116,120.032,4,0.735,Energizing,2,0,Poor
2016,Is There Anybody Out There?,A Great Big World,Pop,Say Something,0.872,0.447,233267,0.158,1.58E-06,B,0.0816,-7.571,1,0.036,140.942,3,0.142,Melancholy,-2,-1,Average
2016,Hot N Cold,Katy Perry,Pop,Hot N Cold,8.10E-05,0.702,223227,0.839,0,E,0.072,-3.992,1,0.0439,132.007,4,0.856,Energizing,2,0,Average
2016,Pure Heroine,Lorde,Pop,Royals,0.106,0.616,190185,0.432,0,E,0.132,-9.546,1,0.133,84.778,4,0.302,Cool,-1,-1,Average
2016,Blurred Lines,Robin Thicke,Pop,Blurred Lines,0.00453,0.862,263053,0.503,1.87E-05,E,0.0761,-7.703,1,0.0494,119.998,4,0.863,Energizing,2,0,Average
2016,The 20/20 Experience,Justin Timberlake,Pop,Suit & Tie,0.103,0.795,326280,0.596,0,G#,0.164,-3.799,0,0.219,101.985,4,0.357,Cool,-1,-1,Average
2016,Greatest Hits: My Prerogative,Britney Spears,Pop,(You Drive Me) Crazy - The Stop Remix!,0.092,0.684,196667,0.963,6.27E-05,F,0.352,-2.397,1,0.0459,101.078,4,0.781,Energizing,2,0,Average
2016,Unorthodox Jukebox,Bruno Mars,Pop,Treasure,0.0412,0.874,178560,0.692,7.24E-05,D,0.324,-5.28,0,0.0431,116.017,4,0.937,Cool,-1,-1,Average
2016,Overexposed,Maroon 5,Pop,One More Night,0.0499,0.717,219467,0.819,0,D,0.0843,-3.435,0,0.032,92.988,4,0.619,Energizing,2,0,Average
2016,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,Pop,Firework,0.139,0.638,227880,0.826,0,F,0.0803,-4.968,1,0.0479,124.072,4,0.649,Empowering,0,1,Average
2016,All About That Bass,Meghan Trainor,Pop,All About That Bass,0.0476,0.811,188754,0.879,1.91E-06,F#,0.109,-3.724,1,0.0514,134.064,4,0.962,Cool,-1,-1,Average
2016,Greatest Hits: My Prerogative,Britney Spears,Pop,Toxic,0.0279,0.774,198813,0.847,0.0183,D,0.241,-3.925,0,0.121,143.011,4,0.923,Energizing,2,0,Average
2016,SEX AND LOVE (Deluxe),Enrique Iglesias,Pop,Bailando - Spanish Version,0.0457,0.725,243413,0.779,2.76E-06,E,0.0446,-3.501,1,0.119,91.018,4,0.948,Aggressive,2,-2,Average
2016,I AM...SASHA FIERCE,Beyoncé,Pop,Single Ladies (Put a Ring on It),0.0383,0.426,193213,0.584,0,A#,0.188,-5.293,1,0.296,193.437,4,0.272,Cool,-1,-1,Average
2016,Burn,Ellie Goulding,Pop,Burn,0.258,0.309,231212,0.775,0,A#,0.102,-4.915,1,0.0546,84.731,4,0.279,Energizing,2,0,Average
